tigal,tech,Tech pt,Description en,Descrição pt,Proximus,Photo URL,photo,review,Money,C-EdTech,C-Google,C-2015,Telecom
,foot traffic sensors,,Intelligent floor mat that captures insights on movement and behavior,,ok,,,,,,,,ok
,wifi module,,,,ok,,,,,,,,ok
,Real-time location,,"Combines highly accurate and fresh maps with cloud technology that enables rich, real-time location experiences in a broad range of connected devices - from smartphones and tablets to wearables and vehicles",,ok,,,,,,,,ok
,Social Video Discovery,,Turns the internet into a tv by allowing users to watch their favorite websites as they were channels,,ok,,,,,,,,ok
,geotargeted advertising,,Use location as primary signal in targeting and optimization for our customers.,,ok,,,,,,,,ok
,Moisture Detection,,Detects and alerts about water leaks as well as important changes in humidity and temperature.,,ok,,,,,,,,ok
,video glasses,,,,ok,,,,,,,,ok
,Wi-Fi enabled modules,,Wi-Fi development board that is the size of a matchbox used for building connected devices.,,ok,,,,,,,,ok
,digital content identification,,Allows copyright holders to identify and manage their content online.,,ok,,,,,,,,ok
,virtual reality accessories,,"Now that VR headsets are starting to make their appearance, the need for accessories and peripherals is greater than ever. They allow users to feel by walking, smelling, touching, etc the simulation.",,ok,,,,,,,,ok
,Live Mobile Video,,,,ok,,,,,,,,ok
,edge application controller,,"Platform with power and scalability for core networks, and fine perspective of access networks, that manages live traffic astride both areas with full-stack intelligence, enhancing reliability and speed of the network.",,ok,,,,,,,,ok
,integrated media processing,,Enables video service providers to meet the massive demand for video on any screen.,,ok,,,,,,,,ok
,Natural language processing,,"Field of computer science, artificial intelligence, and linguistics concerned with the interactions between computers and human natural languages. ",,ok,,,,,,,,ok
,cloud communications ,,"Internet-based voice and data communications where telecommunications applications, switching and storage are hosted by a third-party outside of the organization using them, and they are accessed over the public Internet.",,ok,,,,,,,,ok
,over-the-top video,,"Refers to delivery of audio, video, and other media over the Internet without the involvement of a multiple-system operator in the control or distribution of the content.",,ok,,,,,,,,ok
,Content personalization,,"Consumers can get the content they seek and are more likely to enjoy instantly from their smartphone, tablet, and computer -- not just generic answers, but specific, tailored ones. ",,ok,,,,,,,,ok
,Voice controlled wearables,,"Makes devices extremely useful for workers in restaurants, factories or supermarket chains or in any situation where a person can't be distracted by having to look at a phone screen. ",,ok,,,,,,,,ok
,Network Security Software,,"Provisions and policies that prevent and monitor unauthorized access, misuse, modification, or denial of a computer network and network-accessible resources. ",,ok,,,,,,,,ok
,sensor analytics,,"Has the potential bring insight to all that data from sensors on factory tools, airplanes, smart grids and fitness devices.",,ok,,,,,,,,ok
,DB for things,,Makes it possible to store and analyze the massive streams of time series data generated by connected devices and sensors that break traditional databases.,,ok,,,,,,,,ok
,location intelligence,,Organize and understand complex phenomena through the use of geographical relationships inherent in all information.,,ok,,,,,,,,ok
,cross-device content delivery,,"Assimilates billions of data points to find the human relationship between smartphones, desktops, laptops, tablets, connected TVs and game consoles with the objective of understandingconsumer behavior across related screens.",,ok,,,,,,,,ok
,Geospatial Intelligence,,"Intelligence about the human activity on earth derived from the exploitation and analysis of imagery and geospatial information that describes, assesses, and visually depicts physical features and geographically referenced activities on the Earth. ",,ok,,,,,,,,ok
,Li-Fi,,"Bidirectional, high speed and fully networked wireless communications, like Wi-Fi, using lightwaves.",,ok,,,,,,,,ok
,Data Streaming,,Transfer of data at a steady high-speed rate sufficient to support such applications as high-definition television (HDTV) or the continuous backup copying to a storage medium of the data flow within a computer.,,ok,,,,,,,,ok
,network virtualization,,"Process of combining hardware and software network resources and network functionality into a single, software-based administrative entity, a virtual network.",,ok,,,,,,,,ok
,audience intelligence platform,,"Provide customer locations, behaviors, social media interactions, and app/software usage.",,ok,,,,,,,,ok
,smart control,,"
Allow users to search, discover, explore, and access what’s on live TV, and on-demand movies and TV shows - across multiple video-on-demand providers.",,ok,,,,,,,,ok
,3D mapping,,"Software that can visualize large-scale environments in real time, making it visible to machines. ",,ok,,,,,,,,ok
,connected toys,,,,ok,,,,,,,,ok
,Next Generation Video File Compression,,Compress video streams (at high quality) using advanced mathematical algorithms. This reduces congestion by allowing much smaller files to be transmitted.,,ok,,,,,,,,ok
,Next Generation video encoder ,,Shrinks video by 40 to 45 percent compared to today's prevailing H.264.,,ok,,,,,,,,ok
,wearable camera,,"Small, wearable, hands-free and fully automatic camera.",,ok,,,,,,,,ok
,symptom-tracking analytics,,A software that helps patients understand connections between symptoms and factors like diet and medication.,,ok,,,,,,,,ok
,digital modulation,,"Is the process of conveying a message signal, for example a digital bit stream or an analog audio signal, inside another signal that can be physically transmitted. Modulation of a sine waveform transforms a baseband message signal into a passband signal.",,ok,,,,,,,,ok
,shared mobile broadband,,Technologies that allow all of the phones in a carrier’s network to link up with another and crowdsource their connections.,,ok,,,,,,,,ok
,"Video Monetization 
Platform",,,,ok,,,,,,,,ok
,Smart LEDs,,"Wifi enabled, multi-color, energy efficient LED light bulb that you can control with your smartphone.",,ok,,,,,,,,ok
,Anti-Loss tracker,,,,ok,,,,,,,,ok
,Smart Smoke Alarm ,,Sends app notifications and calls your phone when smoke or carbon monoxide alarms sound.,,ok,,,,,,,,ok
,second screen,,"Use of a device (commonly a mobile device, such as a tablet or smartphone) to provide an enhanced viewing experience for content on another device, such as a television. ",,ok,,,,,,,,ok
,drug data,,,,ok,,,,,,,,ok
,Infinite USB Memory Drive,,"Looks like a conventional flash memory drive but it's actually a Wi-Fi adapter that presents itself as a flash drive to the devices you plug it into. By linking the IUM to a Wi-Fi-equipped host computer, you can share anything on that computer and have it appear as if it were stored locally on the IUM--hence, infinite storage.

",,ok,,,,,,,,ok
,Pocket TV ,,"Give consumers access to local and regional live TV channels as well as online streaming services, games, media sharing, mirroring from a phone or tablet and the ability to install and run to over one million Android apps.",,ok,,,,,,,,ok
,task automation,,Automation service for small tasks between Internet-connected services. ,,ok,,,,,,,,ok
,Community Cellular Network,,"Locally-owned, small-scale, independent cellular networks, run by and for rural communities.",,ok,,,,,,,,ok
,Smart Lighting,,Designed to improve energy efficiency. This may include high efficiency fixtures and automated controls that make adjustments based on conditions such as occupancy or daylight availability. ,,ok,,,,,,,,ok
,wi-fi manager,,Runs in existing wifi routers and adds the power and accessibility of the cloud to home network by managing the devices connected to the network.,,ok,,,,,,,,ok
,Fantasy Sports,,Game where participants act as owners to build a team that competes against other fantasy owners based on the statistics generated by the real individual players or teams of a professional sport also see daily fantasy sports.,,ok,,,,,,,,ok
,Social healthcare,,"A variaty of tools that connect healthcare professionals and boosts hospital efficiency, saves time and improves care transition. Some examples of this trend includes online scheduling, virtual medical consultations and messaging platforms between professionals.",,ok,,,,,,,,ok
,shopping-enabled entertainment,,"Allows viewers to engage with and transact directly from advertisements and television shows through web, mobile, and advanced television applications.",,ok,,,,,,,,ok
,content discovery analytics,,"Increases the accuracy and ease with which end users find relevant, personalized entertainment across multiple channels and devices.",,ok,,,,,,,,ok
,open source OS,,Colaborative development of a software that manages computer hardware and software resources and provides common services for computer programs.,,ok,,,,,,,,ok
,Private cloud,,"Cloud computing platform that is implemented within the corporate firewall, under the control of the IT department.",,ok,,,,,,,,ok
,automatic content recognition,,"Uses audio and video fingerprinting technology to identify content and allow other techs such as social TV, second screen viewing and over-the-top streaming to exist.",,ok,,,,,,,,ok
,portable medical diagnostic ,,App that lets users remotely consult with physicians to diagnose their ailments.,,ok,,,,,,,,ok
,remote health management,,"Enable monitoring of patients outside of conventional clinical settings, which may increase access to care and decrease healthcare delivery costs.",,ok,,,,,,,,ok
